ID,Z_LAMBDA,LAMBDA,Mbar,Mdm,R200_kpc,sigma_v_obs,sigma_v_gpf,ratio,n_members
212,0.1563999950885772,82.08000183105469,82080001831054.69,6648640339817.778,112.62437695906465,2722.364281911394,1062.7589281062274,0.3903808667957015,16
220,0.1680999994277954,84.8499984741211,84849998474121.1,6964871596576.841,114.88969864768815,3064.3589678852795,1070.3726706949237,0.34929741649477514,14
232,0.1342999935150146,67.12999725341797,67129997253417.97,5017458869336.329,99.82514843512581,2926.571390955323,1017.9104528824124,0.3478167168681763,21
237,0.1225999966263771,61.25,61250000000000.0,4413153871943.417,94.48299312143315,1023.3877913141749,998.1667361970391,0.9753553292982434,23
248,0.1254000067710876,68.33000183105469,68330001831054.69,5143473956463.951,100.8920267605731,879.4150546931793,1021.7765106423724,1.161881986428879,23
269,0.1006999984383583,61.880001068115234,61880001068115.234,4476833858280.864,95.06489536180767,1402.1365985615037,1000.3495689241395,0.7134465856967358,31
271,0.1155999973416328,68.87000274658203,68870002746582.03,5200471016463.895,101.36967338110438,2528.8837908279993,1023.4993772175038,0.40472376822123285,30
284,0.2469000071287155,84.93000030517578,84930000305175.78,6974067006849.104,114.95468146876303,1412.3220560005166,1070.5897471233868,0.7580351397719695,14
292,0.1563999950885772,62.72999954223633,62729999542236.33,4563162533088.892,95.84625704191788,2075.5934996329665,1003.2679399824572,0.4833643679072362,12
293,0.1588999927043914,79.18000030517578,79180000305175.78,6322112774826.378,110.21971569273286,1192.7253300166778,1054.5758600878712,0.8841732740539057,13
294,0.133200004696846,67.0,67000000000000.0,5003861305578.526,99.70911662054718,1064.1784961560845,1017.4884877113955,0.9561257734361878,20
298,0.1741999983787536,78.33999633789062,78339996337890.62,6228414477714.639,109.51664102869388,1470.540879390232,1052.1631134191698,0.7154939574719305,12
312,0.1489000022411346,62.91999816894531,62919998168945.31,4582523720707.336,96.02033300084675,1871.6878714144143,1003.9161490667137,0.5363694259065028,11
314,0.2649999856948852,78.58000183105469,78580001831054.69,6255145097969.281,109.71782954807495,877.7312357225486,1052.8544798992114,1.1995180723316758,12
332,0.1352999955415725,64.9000015258789,64900001525878.91,4785674204071.805,97.82206156857755,3730.559277224741,1010.5839518691447,0.27089341752021273,19
341,0.1597000062465667,70.69999694824219,70699996948242.19,5394953340383.604,102.9773292384907,579.5922049047433,1029.262504436402,1.7758391084737977,10
356,0.1385000050067901,58.540000915527344,58540000915527.34,4142231382944.939,91.95209361236071,746.6264080255486,988.5769075195394,1.3240583200557132,12
357,0.1209999993443489,57.810001373291016,57810001373291.016,4070096548452.974,91.26237672337474,821.5634728301713,985.9358395057138,1.200072632378972,22
362,0.1262000054121017,61.650001525878906,61650001525878.91,4453555493529.5,94.85273152160916,669.3196674502406,999.5546383373203,1.4933890141688246,24
364,0.1469999998807907,63.45000076293945,63450000762939.45,4636655444804.216,96.50481132484741,3493.4150453457346,1005.7164765175672,0.28788920396317635,11
367,0.1110000014305114,57.90999984741211,57909999847412.11,4079956466591.855,91.35706217766868,737.9111426756467,986.2991244846913,1.3366096098080267,32
373,0.1289999932050705,65.4000015258789,65400001525878.91,4837371055828.523,98.27354941752598,760.197101077449,1012.2431643847608,1.3315535707122268,19
382,0.1107999980449676,58.130001068115234,58130001068115.234,4101672709699.1035,91.56514459403499,2565.132996810977,987.0966846813034,0.3848130626788089,27
386,0.1171000003814697,68.76000213623047,68760002136230.47,5188845910741.601,101.27249646642116,901.1137868221124,1023.1492581300071,1.135427371207212,26
392,0.1036000028252601,51.95000076293945,51950000762939.45,3504453658648.097,85.59360573658469,769.300969867969,963.7549076378914,1.252767051370409,22
397,0.1482000052928924,62.810001373291016,62810001373291.016,4571312002768.783,95.91958005921468,1020.8358068796675,1003.5410606149039,0.9830582487916176,12
401,0.1318999975919723,58.810001373291016,58810001373291.016,4169002976734.0444,92.20632239023371,4009.0466595246376,989.5473725177699,0.24682859955416506,17
404,0.1424999982118606,68.62000274658203,68620002746582.03,5174061224496.786,101.1487280002033,960.8097082316375,1022.7030389669078,1.0644178865024005,14
408,0.1360999941825866,82.26000213623047,82260002136230.47,6669061815195.73,112.77250224729684,3384.269349615135,1063.259562322424,0.3141769913920533,10
409,0.2381999939680099,84.97000122070312,84970001220703.12,6978666011627.85,114.9871636971945,1594.4157026050455,1070.6982271610402,0.671530157042278,12
410,0.1206000000238418,62.88999938964844,62889999389648.44,4579465236652.18,95.99286223549758,2566.268503882401,1003.813903031362,0.3911570054001495,20
422,0.1636999994516372,49.16999816894531,49169998168945.31,3244746770290.875,82.81520900764004,5387.17108291461,952.5564725139734,0.17681942114944188,20
430,0.1775999963283538,71.41000366210938,71410003662109.38,5470955941459.501,103.59658042357412,941.3468425913999,1031.4679373689123,1.0957363329858538,11
446,0.1220000013709068,53.4900016784668,53490001678466.8,3650750858346.0264,87.10709972103963,1413.5291409507408,969.762186787065,0.6860574421089064,19
454,0.1344999969005584,66.77999877929688,66779998779296.875,4980873469271.987,99.51254448277027,963.3546640604297,1016.7729504322991,1.0554502805298283,20
458,0.2194000035524368,81.1500015258789,81150001525878.9,6543415299640.101,111.85698428886263,1195.8936158709555,1060.1589593033193,0.8864993886025705,12
462,0.1184000000357627,58.13999938964844,58139999389648.44,4102660422644.385,91.57459375539322,3809.6475654914525,987.1328763294247,0.25911396247544555,27
472,0.1577000021934509,54.209999084472656,54209999084472.66,3719732418917.696,87.80871606369864,711.5526071436522,972.5254818651186,1.3667653973879401,14
480,0.1653999984264373,63.720001220703125,63720001220703.125,4664301608211.291,96.75099771914701,623.7390626464341,1006.6292154905709,1.6138627124291198,12
495,0.1168000027537345,53.380001068115234,53380001068115.234,3640244457118.7183,86.99957556430303,8264.123505908516,969.3375120429448,0.11729465458132463,16
504,0.2492000013589859,87.93000030517578,87930000305175.78,7321371501153.92,117.37408826603932,40713.74311065467,1078.6201985309967,0.026492779000924747,10
541,0.1366000026464462,56.02000045776367,56020000457763.67,3894761704351.347,89.55624005917595,1171.379695266105,979.3502511423314,0.8360655858217264,17
542,0.1427000015974044,56.59999847412109,56599998474121.086,3951332049999.5024,90.11142108041555,2494.2045597147235,981.5015076289448,0.3935128351065178,14
543,0.1101000010967254,56.130001068115234,56130001068115.234,3905472737638.529,89.66170998874713,3162.57348785218,979.7595552551838,0.3097981941031747,30
552,0.12219999730587,53.810001373291016,53810001373291.016,3681363857580.8477,87.41939345225803,2054.8249592326606,970.9938105615287,0.4725433211226565,23
559,0.1652999967336654,57.45000076293945,57450000762939.45,4034656762173.649,90.92095950567904,3741.6549905837605,984.6240039055475,0.26315200262542904,12
563,0.1230000033974647,47.95000076293945,47950000762939.45,3132597562326.523,81.57614120510013,5160.685307139763,947.4885183192937,0.18359742203394028,24
564,0.1208000034093856,57.15999984741211,57159999847412.11,4006172508755.0195,90.64530578539646,5201.055136757704,983.5626717332599,0.18910829550374755,13
566,0.3237999975681305,89.31999969482422,89319999694824.22,7483913133176.154,118.48386557417794,4208.166940612444,1082.270681565372,0.2571834000026295,10
568,0.1018999963998794,55.68000030517578,55680000305175.78,3861708254167.183,89.2297188074462,1514.7625596772243,978.0812404229935,0.6456993765619673,29
574,0.1385000050067901,57.36000061035156,57360000610351.56,4025810665092.6016,90.83547161185511,2228.0372002679983,984.2950642599407,0.44177676393443754,12
586,0.2624000012874603,78.2300033569336,78230003356933.6,6216174941514.226,109.42435524438189,3922.050557971875,1051.845726673896,0.2681877021029056,12
615,0.3743999898433685,87.16000366210938,87160003662109.38,7231771170134.993,116.75630191316975,5831.110350978578,1076.5791279280509,0.18462678000037835,11
